Ohio State University-Main Campus,Columbus, Ohio,9168,64930,4 Year,Public,
Columbus State Community College,Columbus, Ohio,3400,50240,2 Year,Public,
University of Cincinnati-Main Campus,Cincinnati, Ohio,9124,39019,4 Year,Public,
Cuyahoga Community College District,Cleveland, Ohio,3753,37652,2 Year,Public,
Sinclair Community College,Dayton, Ohio,3008,35141,2 Year,Public,
Kent State University at Kent,Kent, Ohio,9672,33819,4 Year,Public,
University of Akron Main Campus,Akron, Ohio,8284,32451,4 Year,Public,
Ohio University-Main Campus,Athens, Ohio,10282,32231,4 Year,Public,
University of Toledo,Toledo, Ohio,7864,25810,4 Year,Public,
Owens Community College,Perrysburg, Ohio,3505,24676,2 Year,Public,
Wright State University-Main Campus,Dayton, Ohio,8354,22047,4 Year,Public,
Cleveland State University,Cleveland, Ohio,9264,20983,4 Year,Public,
Bowling Green State University-Main Campus,Bowling Green, Ohio,8914,20228,4 Year,Public,
Miami University-Oxford,Oxford, Ohio,11270,19952,4 Year,Public,
Cincinnati State Technical and Community College,Cincinnati, Ohio,4265,19500,2 Year,Public,
Stark State College,North Canton, Ohio,3528,19315,2 Year,Public,
Youngstown State University,Youngstown, Ohio,7483,17328,4 Year,Public,
Lorain County Community College,Elyria, Ohio,3179,17311,2 Year,Public,
University of Dayton,Dayton, Ohio,32000,13572,4 Year,Private ,
Lakeland Community College,Kirtland, Ohio,3936,13236,2 Year,Public,
Case Western Reserve University,Cleveland, Ohio,40120,10335,4 Year,Private ,
Franklin University,Columbus, Ohio,9960,10146,4 Year,Private ,
Tiffin University,Tiffin, Ohio,19890,9771,4 Year,Private ,
Clark State Community College,Springfield, Ohio,2754,9194,2 Year,Public,
Hocking College,Nelsonville, Ohio,2880,9090,2 Year,Public,
Xavier University,Cincinnati, Ohio,31140,8433,4 Year,Private ,
Ashland University,Ashland, Ohio,27930,8136,4 Year,Private ,
Northwest State Community College,Archbold, Ohio,3264,7428,2 Year,Public,
Kent State University at Stark,Canton, Ohio,5472,7015,4 Year,Public,
Central Ohio Technical College,Newark, Ohio,4200,6923,2 Year,Public,
University of Cincinnati-Raymond Walters College,Blue Ash, Ohio,5170,6835,4 Year,Public,
The University of Findlay,Findlay, Ohio,28080,5945,4 Year,Private ,
DeVry University-Ohio,Columbus, Ohio,16076,5902,4 Year,Private ,
University of Northwestern Ohio,Lima, Ohio,9276,5666,4 Year,Private ,
Shawnee State University,Portsmouth, Ohio,5918,5490,4 Year,Public,
Kent State University at Trumbull,Warren, Ohio,5472,5424,4 Year,Public,
James A Rhodes State College,Lima, Ohio,4312,5405,2 Year,Public,
University of Cincinnati-Clermont College,Batavia, Ohio,4490,5261,4 Year,Public,
Baldwin-Wallace College,Berea, Ohio,27060,5069,4 Year,Private ,
Fortis College-Centeville,Centerville, Ohio,12200,5010,2 Year,Private ,
Edison State Community College,Piqua, Ohio,3410,4867,4 Year,Public,
Miami University-Hamilton,Hamilton, Ohio,4562,4797,4 Year,Public,
Kent State University at Geauga,Burton, Ohio,5472,4768,4 Year,Public,
Southern State Community College,Hillsboro, Ohio,4032,4640,2 Year,Public,
North Central State College,Mansfield, Ohio,2883,4555,2 Year,Public,
Terra State Community College,Fremont, Ohio,3820,4548,2 Year,Public,
Zane State College,Zanesville, Ohio,4380,4372,2 Year,Public,
Capital University,Columbus, Ohio,31364,4353,4 Year,Private ,
Marion Technical College,Marion, Ohio,3984,4344,2 Year,Public,
John Carroll University,University Heights, Ohio,32130,4236,4 Year,Private ,
